crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3529203,Martinópolis,0.08,0.2394,0.1013,Não significativo,0
Roubo (art. 157),3529302,Matão,0.569,0.0272,0.472,Não significativo,0
Roubo (art. 157),3529401,Mauá,4.062,12.4329,0,Alto-Alto,0
Roubo (art. 157),3529500,Mendonça,0.649,0.0158,0.2597,Não significativo,0
Roubo (art. 157),3529609,Meridiano,0.437,0.093,0.3097,Não significativo,0
Roubo (art. 157),3529658,Mesópolis,0,0.2469,0.4375,Não significativo,0
Roubo (art. 157),3529708,Miguelópolis,1.08,-0.0234,0.8784,Não significativo,0
Roubo (art. 157),3529807,Mineiros do Tietê,0.267,0.1243,0.4638,Não significativo,0
Roubo (art. 157),3529906,Miracatu,5.713,1.7813,0.2592,Não significativo,0
Roubo (art. 157),3530003,Mira Estrela,0,0.2665,0.402,Não significativo,0
Roubo (art. 157),3530102,Mirandópolis,0.179,0.1764,0.2526,Não significativo,0
Roubo (art. 157),3530201,Mirante do Paranapanema,0.063,0.2324,0.2989,Não significativo,0
Roubo (art. 157),3530300,Mirassol,0.474,0.0569,0.3902,Não significativo,0
Roubo (art. 157),3530409,Mirassolândia,0,0.1804,0.4209,Não significativo,0
Roubo (art. 157),3530508,Mococa,0.606,0.0158,0.5864,Não significativo,0
Roubo (art. 157),3530607,Mogi das Cruzes,2.233,2.9178,0,Alto-Alto,0
Roubo (art. 157),3530706,Mogi Guaçu,1.302,0.1186,0.4559,Não significativo,0
Roubo (art. 157),3530805,Mogi Mirim,1.664,0.0641,0.8353,Não significativo,0
Roubo (art. 157),3530904,Mombuca,1.343,0.0179,0.943,Não significativo,0
Roubo (art. 157),3531001,Monções,0,0.305,0.2149,Não significativo,0
Roubo (art. 157),3531100,Mongaguá,4.326,10.4011,0,Alto-Alto,1
Roubo (art. 157),3531209,Monte Alegre do Sul,0,0.1428,0.5608,Não significativo,0
Roubo (art. 157),3531308,Monte Alto,0.757,-0.0147,0.3888,Não significativo,0
Roubo (art. 157),3531407,Monte Aprazível,0.359,0.1254,0.1567,Não significativo,0
Roubo (art. 157),3531506,Monte Azul Paulista,0.055,0.1675,0.4594,Não significativo,0
Roubo (art. 157),3531605,Monte Castelo,0,0.2909,0.2369,Não significativo,0
Roubo (art. 157),3531704,Monteiro Lobato,0.967,0.0729,0.4046,Não significativo,0
Roubo (art. 157),3531803,Monte Mor,1.284,0.3582,0.0413,Alto-Alto,0
Roubo (art. 157),3531902,Morro Agudo,0.967,-0.0404,0.5514,Não significativo,0
Roubo (art. 157),3532009,Morungaba,0.146,-0.2098,0.2381,Não significativo,0
Roubo (art. 157),3532058,Motuca,0.496,0.0273,0.6993,Não significativo,0
Roubo (art. 157),3532108,Murutinga do Sul,0.268,0.1665,0.3947,Não significativo,0
Roubo (art. 157),3532157,Nantes,0,0.2383,0.3864,Não significativo,0
Roubo (art. 157),3532207,Narandiba,0,0.2469,0.4375,Não significativo,0
Roubo (art. 157),3532306,Natividade da Serra,0.429,-0.0665,0.4822,Não significativo,0
Roubo (art. 157),3532405,Nazaré Paulista,1.757,0.8228,0.0162,Alto-Alto,0
Roubo (art. 157),3532504,Neves Paulista,0.103,0.155,0.4172,Não significativo,0
Roubo (art. 157),3532603,Nhandeara,0,0.2657,0.2004,Não significativo,0
Roubo (art. 157),3532702,Nipoã,0.211,0.1225,0.4747,Não significativo,0
Roubo (art. 157),3532801,Nova Aliança,0,0.1552,0.4885,Não significativo,0
Roubo (art. 157),3532827,Nova Campina,0.471,0.0572,0.4721,Não significativo,0
Roubo (art. 157),3532843,Nova Canaã Paulista,0.492,0.0754,0.3501,Não significativo,0
Roubo (art. 157),3532868,Nova Castilho,0,0.2603,0.2898,Não significativo,0
Roubo (art. 157),3532900,Nova Europa,0.107,0.1313,0.5279,Não significativo,0
Roubo (art. 157),3533007,Nova Granada,0.515,0.0682,0.2068,Não significativo,0
Roubo (art. 157),3533106,Nova Guataporanga,0,0.2981,0.2787,Não significativo,0
Roubo (art. 157),3533205,Nova Independência,0,0.2539,0.2577,Não significativo,0
Roubo (art. 157),3533254,Novais,0,0.2279,0.4735,Não significativo,0
Roubo (art. 157),3533304,Nova Luzitânia,0,0.305,0.174,Não significativo,0
Roubo (art. 157),3533403,Nova Odessa,1.032,0.1279,0.3365,Não significativo,0
Roubo (art. 157),3533502,Novo Horizonte,0.104,0.2043,0.1456,Não significativo,0
Roubo (art. 157),3533601,Nuporanga,0.541,0.0241,0.6299,Não significativo,0
Roubo (art. 157),3533700,Ocauçu,0,0.2433,0.3764,Não significativo,0
Roubo (art. 157),3533809,Óleo,0,0.248,0.3131,Não significativo,0
Roubo (art. 157),3533908,Olímpia,0.327,0.1197,0.2449,Não significativo,0
Roubo (art. 157),3534005,Onda Verde,0.21,0.0894,0.6024,Não significativo,0
Roubo (art. 157),3534104,Oriente,0.164,0.1464,0.4862,Não significativo,0
Roubo (art. 157),3534203,Orindiúva,0,0.1822,0.5076,Não significativo,0
Roubo (art. 157),3534302,Orlândia,0.313,0.0297,0.8441,Não significativo,0
Roubo (art. 157),3534401,Osasco,5.591,15.8774,0,Alto-Alto,0
Roubo (art. 157),3534500,Oscar Bressane,0,0.1725,0.5302,Não significativo,0
Roubo (art. 157),3534609,Osvaldo Cruz,0.192,0.1741,0.2469,Não significativo,0
Roubo (art. 157),3534708,Ourinhos,0.539,0.0354,0.5683,Não significativo,0
Roubo (art. 157),3534757,Ouroeste,0.097,0.1918,0.418,Não significativo,0
Roubo (art. 157),3534807,Ouro Verde,0,0.2777,0.2589,Não significativo,0
Roubo (art. 157),3534906,Pacaembu,0,0.2893,0.2394,Não significativo,0
Roubo (art. 157),3535002,Palestina,0.087,0.2167,0.1755,Não significativo,0
Roubo (art. 157),3535101,Palmares Paulista,0.207,0.1686,0.3294,Não significativo,0
Roubo (art. 157),3535200,Palmeira d'Oeste,0,0.2202,0.1819,Não significativo,0
Roubo (art. 157),3535309,Palmital,0.357,0.1301,0.4013,Não significativo,0
Roubo (art. 157),3535408,Panorama,0.067,0.2672,0.1877,Não significativo,0
Roubo (art. 157),3535507,Paraguaçu Paulista,0.122,0.1951,0.2543,Não significativo,0
Roubo (art. 157),3535606,Paraibuna,0.396,-0.0139,0.8867,Não significativo,0
Roubo (art. 157),3535705,Paraíso,0.164,0.1817,0.2894,Não significativo,0
Roubo (art. 157),3535804,Paranapanema,0.309,0.0957,0.4429,Não significativo,0
Roubo (art. 157),3535903,Paranapuã,0,0.2286,0.308,Não significativo,0
Roubo (art. 157),3536000,Parapuã,0.189,0.1797,0.2347,Não significativo,0
Roubo (art. 157),3536109,Pardinho,0.419,0.0662,0.6008,Não significativo,0
Roubo (art. 157),3536208,Pariquera-Açu,0.364,0.0631,0.6304,Não significativo,0
Roubo (art. 157),3536257,Parisi,0,0.2521,0.3053,Não significativo,0
Roubo (art. 157),3536307,Patrocínio Paulista,0.207,0.0369,0.848,Não significativo,0
Roubo (art. 157),3536406,Paulicéia,0,0.2867,0.2974,Não significativo,0
Roubo (art. 157),3536505,Paulínia,0.941,0.1434,0.0503,Não significativo,0
Roubo (art. 157),3536570,Paulistânia,0,0.1867,0.4972,Não significativo,0
Roubo (art. 157),3536604,Paulo de Faria,0.135,0.2242,0.3819,Não significativo,0
Roubo (art. 157),3536703,Pederneiras,0.513,0.0417,0.3858,Não significativo,0
Roubo (art. 157),3536802,Pedra Bela,0.153,0.08,0.709,Não significativo,0
Roubo (art. 157),3536901,Pedranópolis,0,0.2312,0.3026,Não significativo,0
Roubo (art. 157),3537008,Pedregulho,0.451,0.0546,0.5286,Não significativo,0
Roubo (art. 157),3537107,Pedreira,0.487,-0.1061,0.1998,Não significativo,0
Roubo (art. 157),3537156,Pedrinhas Paulista,0,0.2935,0.3561,Não significativo,0
Roubo (art. 157),3537206,Pedro de Toledo,0.266,-0.5897,0,Baixo-Alto,0
Roubo (art. 157),3537305,Penápolis,0.292,0.1213,0.2815,Não significativo,0
Roubo (art. 157),3537404,Pereira Barreto,0.374,0.1159,0.1707,Não significativo,0
Roubo (art. 157),3537503,Pereiras,0.343,0.007,0.9547,Não significativo,0
Roubo (art. 157),3537602,Peruíbe,3.116,0.5637,0.5515,Não significativo,1
Roubo (art. 157),3537701,Piacatu,0,0.2145,0.301,Não significativo,0
Roubo (art. 157),3537800,Piedade,0.831,-0.0083,0.8619,Não significativo,0
Roubo (art. 157),3537909,Pilar do Sul,0.109,0.053,0.7782,Não significativo,0
Roubo (art. 157),3538006,Pindamonhangaba,1.469,0.0892,0.6774,Não significativo,0
Roubo (art. 157),3538105,Pindorama,0.138,0.1776,0.3679,Não significativo,0
Roubo (art. 157),3538204,Pinhalzinho,0.131,0.1199,0.5477,Não significativo,0
Roubo (art. 157),3538303,Piquerobi,0,0.2794,0.256,Não significativo,0
Roubo (art. 157),3538501,Piquete,0.4,-0.0788,0.502,Não significativo,0
Roubo (art. 157),3538600,Piracaia,0.346,-0.0785,0.4533,Não significativo,0
Roubo (art. 157),3538709,Piracicaba,1.2,0.1047,0.3598,Não significativo,0
Roubo (art. 157),3538808,Piraju,0.306,0.1385,0.1539,Não significativo,0
Roubo (art. 157),3538907,Pirajuí,0.134,0.1954,0.1626,Não significativo,0
Roubo (art. 157),3539004,Pirangi,0,0.1931,0.389,Não significativo,0
Roubo (art. 157),3539103,Pirapora do Bom Jesus,0.49,-0.0877,0.2292,Não significativo,0
Roubo (art. 157),3539202,Pirapozinho,0.079,0.2109,0.2515,Não significativo,0
Roubo (art. 157),3539301,Pirassununga,0.53,-0.0281,0.5443,Não significativo,0
Roubo (art. 157),3539400,Piratininga,0.199,0.1361,0.3955,Não significativo,0
Roubo (art. 157),3539509,Pitangueiras,0.98,-0.0167,0.8565,Não significativo,0
Roubo (art. 157),3539608,Planalto,0.684,0.0045,0.2372,Não significativo,0
Roubo (art. 157),3539707,Platina,0,0.2163,0.3346,Não significativo,0
Roubo (art. 157),3539806,Poá,6.871,22.2486,0,Alto-Alto,0
Roubo (art. 157),3539905,Poloni,0,0.1477,0.7887,Não significativo,0
Roubo (art. 157),3540002,Pompéia,0.347,0.114,0.2416,Não significativo,0
Roubo (art. 157),3540101,Pongaí,0,0.2011,0.4131,Não significativo,0
Roubo (art. 157),3540200,Pontal,0.665,-0.0049,0.6545,Não significativo,0
Roubo (art. 157),3540259,Pontalinda,0,0.2487,0.2307,Não significativo,0
Roubo (art. 157),3540309,Pontes Gestal,0,0.2559,0.3523,Não significativo,0
Roubo (art. 157),3540408,Populina,0.242,0.192,0.2851,Não significativo,0
Roubo (art. 157),3540507,Porangaba,0.287,0.0777,0.5552,Não significativo,0
Roubo (art. 157),3540606,Porto Feliz,1.186,0.0643,0.6374,Não significativo,0
Roubo (art. 157),3540705,Porto Ferreira,1.406,-0.0572,0.8403,Não significativo,0
Roubo (art. 157),3540754,Potim,0.294,-0.2369,0.1369,Não significativo,0
Roubo (art. 157),3540804,Potirendaba,0.27,0.1403,0.2697,Não significativo,0
Roubo (art. 157),3540853,Pracinha,0,0.2798,0.3092,Não significativo,0
Roubo (art. 157),3540903,Pradópolis,0.234,-0.0412,0.8226,Não significativo,0
Roubo (art. 157),3541000,Praia Grande,5.272,14.7829,0,Alto-Alto,1
Roubo (art. 157),3541059,Pratânia,0.39,0.0805,0.506,Não significativo,0
Roubo (art. 157),3541109,Presidente Alves,0,0.1665,0.5447,Não significativo,0
Roubo (art. 157),3541208,Presidente Bernardes,0,0.2577,0.184,Não significativo,0
Roubo (art. 157),3541307,Presidente Epitácio,0.101,0.2376,0.3126,Não significativo,0
Roubo (art. 157),3541406,Presidente Prudente,0.381,0.1319,0.0776,Não significativo,0
Roubo (art. 157),3541505,Presidente Venceslau,0.028,0.2773,0.1979,Não significativo,0
Roubo (art. 157),3541604,Promissão,0.37,0.0917,0.2844,Não significativo,0
Roubo (art. 157),3541653,Quadra,0.881,-0.0314,0.6328,Não significativo,0
Roubo (art. 157),3541703,Quatá,0.152,0.2079,0.236,Não significativo,0
Roubo (art. 157),3541802,Queiroz,0,0.1682,0.4936,Não significativo,0
Roubo (art. 157),3541901,Queluz,0.764,0.007,0.8219,Não significativo,0
Roubo (art. 157),3542008,Quintana,0,0.2103,0.3483,Não significativo,0
Roubo (art. 157),3542107,Rafard,0.669,-0.0048,0.65,Não significativo,0
Roubo (art. 157),3542206,Rancharia,0.21,0.1839,0.1497,Não significativo,0
Roubo (art. 157),3542305,Redenção da Serra,1.113,0.0402,0.7646,Não significativo,0
Roubo (art. 157),3542404,Regente Feijó,0.149,0.186,0.336,Não significativo,0
Roubo (art. 157),3542503,Reginópolis,0,0.1629,0.432,Não significativo,0
Roubo (art. 157),3542602,Registro,0.534,0.0299,0.5672,Não significativo,0
Roubo (art. 157),3542701,Restinga,0.312,0.0258,0.8825,Não significativo,0
Roubo (art. 157),3542800,Ribeira,0,0.275,0.3176,Não significativo,0
Roubo (art. 157),3542909,Ribeirão Bonito,0.546,0.0139,0.7559,Não significativo,0
Roubo (art. 157),3543006,Ribeirão Branco,0.483,0.0481,0.5682,Não significativo,0
Roubo (art. 157),3543105,Ribeirão Corrente,0,0.0748,0.76,Não significativo,0
Roubo (art. 157),3543204,Ribeirão do Sul,0,0.2031,0.4602,Não significativo,0
Roubo (art. 157),3543238,Ribeirão dos Índios,0,0.2785,0.2144,Não significativo,0
Roubo (art. 157),3543253,Ribeirão Grande,0.403,0.0652,0.5735,Não significativo,0
Roubo (art. 157),3543303,Ribeirão Pires,2.051,3.1771,0,Alto-Alto,0
Roubo (art. 157),3543402,Ribeirão Preto,2.028,0.0817,0.8339,Não significativo,0
Roubo (art. 157),3543501,Riversul,0.357,0.0945,0.5418,Não significativo,0
Roubo (art. 157),3543600,Rifaina,0,0.0975,0.8019,Não significativo,0
Roubo (art. 157),3543709,Rincão,0,0.0384,0.8515,Não significativo,0
Roubo (art. 157),3543808,Rinópolis,0.216,0.1816,0.339,Não significativo,0
Roubo (art. 157),3543907,Rio Claro,1.435,0.1166,0.6237,Não significativo,0
Roubo (art. 157),3544004,Rio das Pedras,0.894,0.0436,0.4952,Não significativo,0
Roubo (art. 157),3544103,Rio Grande da Serra,1.155,1.1971,0,Alto-Alto,0
Roubo (art. 157),3544202,Riolândia,0.097,0.2167,0.3603,Não significativo,0
Roubo (art. 157),3544251,Rosana,0.172,0.1999,0.4958,Não significativo,0
Roubo (art. 157),3544301,Roseira,0.831,0.0561,0.2407,Não significativo,0
Roubo (art. 157),3544400,Rubiácea,0,0.2199,0.4241,Não significativo,0
Roubo (art. 157),3544509,Rubinéia,0,0.2593,0.2917,Não significativo,0
Roubo (art. 157),3544608,Sabino,0.196,0.137,0.3581,Não significativo,0
Roubo (art. 157),3544707,Sagres,0,0.2646,0.2819,Não significativo,0
Roubo (art. 157),3544806,Sales,0.155,0.1468,0.4425,Não significativo,0
Roubo (art. 157),3544905,Sales Oliveira,0.351,-0.0262,0.8147,Não significativo,0
Roubo (art. 157),3545001,Salesópolis,0.592,-0.0474,0.127,Não significativo,0
Roubo (art. 157),3545100,Salmourão,0.208,0.1671,0.3328,Não significativo,0
Roubo (art. 157),3545159,Saltinho,1.47,0.1307,0.7112,Não significativo,0
Roubo (art. 157),3545209,Salto,0.491,-0.0119,0.8998,Não significativo,0
Roubo (art. 157),3545308,Salto de Pirapora,0.526,-0.0014,0.9794,Não significativo,0
Roubo (art. 157),3545407,Salto Grande,0.773,-0.0254,0.4068,Não significativo,0
Roubo (art. 157),3545506,Sandovalina,0.274,0.1611,0.2803,Não significativo,0
Roubo (art. 157),3545605,Santa Adélia,0.071,0.2054,0.3522,Não significativo,0
Roubo (art. 157),3545704,Santa Albertina,0.156,0.2135,0.2633,Não significativo,0
Roubo (art. 157),3545803,Santa Bárbara d'Oeste,0.862,0.0611,0.1876,Não significativo,0
Roubo (art. 157),3546009,Santa Branca,0.286,-0.0181,0.9018,Não significativo,0
Roubo (art. 157),3546108,Santa Clara d'Oeste,0,0.2631,0.408,Não significativo,0
Roubo (art. 157),3546207,Santa Cruz da Conceição,1.169,0.0585,0.7542,Não significativo,0
Roubo (art. 157),3546256,Santa Cruz da Esperança,0.473,-0.0014,0.9875,Não significativo,0
Roubo (art. 157),3546306,Santa Cruz das Palmeiras,0.346,0.0031,0.9774,Não significativo,0
Roubo (art. 157),3546405,Santa Cruz do Rio Pardo,0.258,0.1456,0.127,Não significativo,0
Roubo (art. 157),3546504,Santa Ernestina,0.654,0.0025,0.8951,Não significativo,0
Roubo (art. 157),3546603,Santa Fé do Sul,0.287,0.1463,0.3117,Não significativo,0
Roubo (art. 157),3546702,Santa Gertrudes,0.593,-0.0245,0.6023,Não significativo,0
Roubo (art. 157),3546801,Santa Isabel,1.316,0.6698,3e-4,Alto-Alto,0
Roubo (art. 157),3546900,Santa Lúcia,0,0.1136,0.7202,Não significativo,0
Roubo (art. 157),3547007,Santa Maria da Serra,0.381,0.0331,0.766,Não significativo,0
Roubo (art. 157),3547106,Santa Mercedes,0,0.2955,0.1878,Não significativo,0
Roubo (art. 157),3547205,Santana da Ponte Pensa,1.198,-0.2109,0.2363,Não significativo,0
Roubo (art. 157),3547304,Santana de Parnaíba,0.934,0.4122,0,Alto-Alto,0
Roubo (art. 157),3547403,Santa Rita d'Oeste,0,0.1744,0.4365,Não significativo,0
Roubo (art. 157),3547502,Santa Rita do Passa Quatro,0.483,-0.0182,0.7752,Não significativo,0
Roubo (art. 157),3547601,Santa Rosa de Viterbo,0.085,-0.0691,0.7765,Não significativo,0
Roubo (art. 157),3547650,Santa Salete,0,0.1365,0.6193,Não significativo,0
Roubo (art. 157),3547700,Santo Anastácio,0.111,0.2517,0.2235,Não significativo,0
Roubo (art. 157),3547809,Santo André,8.156,15.1302,0,Alto-Alto,0
Roubo (art. 157),3547908,Santo Antônio da Alegria,0.443,0.0447,0.6988,Não significativo,0
Roubo (art. 157),3548005,Santo Antônio de Posse,0.731,0.0039,0.7571,Não significativo,0
Roubo (art. 157),3548054,Santo Antônio do Aracanguá,0,0.2391,0.1674,Não significativo,0
Roubo (art. 157),3548104,Santo Antônio do Jardim,0.49,0.0418,0.7172,Não significativo,0
Roubo (art. 157),3548203,Santo Antônio do Pinhal,0,-0.0717,0.7962,Não significativo,0
Roubo (art. 157),3548302,Santo Expedito,0,0.2633,0.3387,Não significativo,0
Roubo (art. 157),3548401,Santópolis do Aguapeí,0.256,0.1539,0.3225,Não significativo,0
Roubo (art. 157),3548500,Santos,3.911,9.0652,0,Alto-Alto,1
Roubo (art. 157),3548609,São Bento do Sapucaí,0.086,0.0916,0.7882,Não significativo,0
Roubo (art. 157),3548708,São Bernardo do Campo,5.573,19.8446,0,Alto-Alto,0
Roubo (art. 157),3548807,São Caetano do Sul,2.348,8.4481,0,Alto-Alto,0
Roubo (art. 157),3548906,São Carlos,0.981,-0.0039,0.9568,Não significativo,0
Roubo (art. 157),3549003,São Francisco,0,0.234,0.3949,Não significativo,0
Roubo (art. 157),3549102,São João da Boa Vista,0.27,0.0608,0.6859,Não significativo,0
Roubo (art. 157),3549201,São João das Duas Pontes,0,0.2672,0.3315,Não significativo,0
Roubo (art. 157),3549250,São João de Iracema,0,0.2184,0.3301,Não significativo,0
Roubo (art. 157),3549300,São João do Pau d'Alho,0,0.2963,0.2284,Não significativo,0
Roubo (art. 157),3549409,São Joaquim da Barra,0.432,0.0074,0.9364,Não significativo,0
Roubo (art. 157),3549508,São José da Bela Vista,0.393,0.0364,0.687,Não significativo,0
Roubo (art. 157),3549607,São José do Barreiro,0.26,0.121,0.4829,Não significativo,0
Roubo (art. 157),3549706,São José do Rio Pardo,0.153,0.1481,0.3603,Não significativo,0
Roubo (art. 157),3549805,São José do Rio Preto,1.274,-0.1779,0.3415,Não significativo,0
Roubo (art. 157),3549904,São José dos Campos,1.014,0.0771,0.4525,Não significativo,0
Roubo (art. 157),3549953,São Lourenço da Serra,3.797,7.9797,0,Alto-Alto,0
Roubo (art. 157),3550001,São Luiz do Paraitinga,0.58,-0.0155,0.6783,Não significativo,0
Roubo (art. 157),3550100,São Manuel,0.322,0.1053,0.3126,Não significativo,0
Roubo (art. 157),3550209,São Miguel Arcanjo,0.531,0.0387,0.5071,Não significativo,0
Roubo (art. 157),3550308,São Paulo,9.467,23.3295,0,Alto-Alto,0
Roubo (art. 157),3550407,São Pedro,0.497,0.0064,0.9142,Não significativo,0
Roubo (art. 157),3550506,São Pedro do Turvo,0,0.2083,0.2826,Não significativo,0
Roubo (art. 157),3550605,São Roque,1.246,0.5561,7e-4,Alto-Alto,0
Roubo (art. 157),3550704,São Sebastião,1.409,0.7044,0.0309,Alto-Alto,1
Roubo (art. 157),3550803,São Sebastião da Grama,0,0.1739,0.4791,Não significativo,0
Roubo (art. 157),3550902,São Simão,1.265,-0.0419,0.8069,Não significativo,0
Roubo (art. 157),3551009,São Vicente,7.32,18.4056,0,Alto-Alto,1
Roubo (art. 157),3551108,Sarapuí,0.386,0.036,0.7185,Não significativo,0
Roubo (art. 157),3551207,Sarutaiá,0.27,0.1378,0.479,Não significativo,0
Roubo (art. 157),3551306,Sebastianópolis do Sul,0,0.2121,0.3882,Não significativo,0
Roubo (art. 157),3551405,Serra Azul,0.314,-0.0183,0.893,Não significativo,0
Roubo (art. 157),3551504,Serrana,1.253,0.0091,0.9622,Não significativo,0
Roubo (art. 157),3551603,Serra Negra,0.301,0.0866,0.5348,Não significativo,0
Roubo (art. 157),3551702,Sertãozinho,0.694,-4e-4,0.4192,Não significativo,0
Roubo (art. 157),3551801,Sete Barras,0.079,0.0706,0.7217,Não significativo,0
Roubo (art. 157),3551900,Severínia,0.137,0.1428,0.4695,Não significativo,0
Roubo (art. 157),3552007,Silveiras,0.485,-0.0293,0.6425,Não significativo,0
Roubo (art. 157),3552106,Socorro,0.299,0.1145,0.3712,Não significativo,0
Roubo (art. 157),3552205,Sorocaba,1.741,0.0804,0.7801,Não significativo,0
Roubo (art. 157),3552304,Sud Mennucci,0,0.2816,0.1748,Não significativo,0
Roubo (art. 157),3552403,Sumaré,2.304,1.0906,0.0351,Alto-Alto,0
Roubo (art. 157),3552502,Suzano,4.294,8.9034,0,Alto-Alto,0
Roubo (art. 157),3552551,Suzanápolis,0,0.2516,0.3061,Não significativo,0
Roubo (art. 157),3552601,Tabapuã,0.088,0.1994,0.2712,Não significativo,0
Roubo (art. 157),3552700,Tabatinga,0.406,0.0705,0.5386,Não significativo,0
Roubo (art. 157),3552809,Taboão da Serra,6.551,28.7643,0,Alto-Alto,0
Roubo (art. 157),3552908,Taciba,0.319,0.1543,0.2471,Não significativo,0
Roubo (art. 157),3553005,Taguaí,0.395,0.1069,0.3694,Não significativo,0
Roubo (art. 157),3553104,Taiaçu,0.176,0.1038,0.572,Não significativo,0
Roubo (art. 157),3553203,Taiúva,0.153,0.0512,0.7889,Não significativo,0
Roubo (art. 157),3553302,Tambaú,0.746,-0.0064,0.6916,Não significativo,0
Roubo (art. 157),3553401,Tanabi,0.317,0.1313,0.2827,Não significativo,0
Roubo (art. 157),3553500,Tapiraí,0.375,-0.1314,0.1709,Não significativo,0
Roubo (art. 157),3553609,Tapiratiba,0.169,0.1276,0.596,Não significativo,0
Roubo (art. 157),3553658,Taquaral,0,-0.0162,0.9545,Não significativo,0
Roubo (art. 157),3553708,Taquaritinga,0.459,0.0209,0.7365,Não significativo,0
Roubo (art. 157),3553807,Taquarituba,0.287,0.1282,0.428,Não significativo,0
Roubo (art. 157),3553856,Taquarivaí,0,0.1687,0.5954,Não significativo,0
Roubo (art. 157),3553906,Tarabai,0.306,0.1481,0.2827,Não significativo,0
Roubo (art. 157),3553955,Tarumã,0.067,0.2395,0.2814,Não significativo,0
Roubo (art. 157),3554003,Tatuí,0.928,-0.0062,0.9195,Não significativo,0
Roubo (art. 157),3554102,Taubaté,1.867,0.1823,0.5743,Não significativo,0
Roubo (art. 157),3554201,Tejupá,0,0.1626,0.5081,Não significativo,0
Roubo (art. 157),3554300,Teodoro Sampaio,0.18,0.2043,0.2628,Não significativo,0
Roubo (art. 157),3554409,Terra Roxa,0.38,0.0401,0.7194,Não significativo,0
Roubo (art. 157),3554508,Tietê,0.797,0.0185,0.4874,Não significativo,0
Roubo (art. 157),3554607,Timburi,0,0.2191,0.3728,Não significativo,0
Roubo (art. 157),3554656,Torre de Pedra,0,0.2212,0.4866,Não significativo,0
Roubo (art. 157),3554706,Torrinha,0.321,0.0581,0.6949,Não significativo,0
Roubo (art. 157),3554755,Trabiju,0.595,0.031,0.5017,Não significativo,0
Roubo (art. 157),3554805,Tremembé,0.879,0.0852,0.3094,Não significativo,0
Roubo (art. 157),3554904,Três Fronteiras,0.147,0.1039,0.5919,Não significativo,0
Roubo (art. 157),3554953,Tuiuti,0.59,0.0256,0.4941,Não significativo,0
Roubo (art. 157),3555000,Tupã,0.203,0.1595,0.3157,Não significativo,0
Roubo (art. 157),3555109,Tupi Paulista,0.063,0.2607,0.2015,Não significativo,0
Roubo (art. 157),3555208,Turiúba,0,0.258,0.1834,Não significativo,0
Roubo (art. 157),3555307,Turmalina,0,0.2354,0.2939,Não significativo,0
Roubo (art. 157),3555356,Ubarana,0,0.1322,0.6303,Não significativo,0
Roubo (art. 157),3555406,Ubatuba,1.484,0.0584,0.85,Não significativo,1
Roubo (art. 157),3555505,Ubirajara,0.195,0.1736,0.3269,Não significativo,0
Roubo (art. 157),3555604,Uchoa,0.096,0.2079,0.2824,Não significativo,0
Roubo (art. 157),3555703,União Paulista,0,0.1676,0.542,Não significativo,0
Roubo (art. 157),3555802,Urânia,0.34,0.1386,0.2273,Não significativo,0
Roubo (art. 157),3555901,Uru,0,0.279,0.3107,Não significativo,0
Roubo (art. 157),3556008,Urupês,0,0.2519,0.3056,Não significativo,0
Roubo (art. 157),3556107,Valentim Gentil,0.071,0.1934,0.381,Não significativo,0
Roubo (art. 157),3556206,Valinhos,0.981,0.2086,0.0647,Não significativo,0
Roubo (art. 157),3556305,Valparaíso,0.248,0.1477,0.3064,Não significativo,0
Roubo (art. 157),3556354,Vargem,0.666,0.0057,0.6276,Não significativo,0
Roubo (art. 157),3556404,Vargem Grande do Sul,0.473,0.0536,0.4963,Não significativo,0
Roubo (art. 157),3556453,Vargem Grande Paulista,1.547,1.5064,1e-4,Alto-Alto,0
Roubo (art. 157),3556503,Várzea Paulista,1.503,0.7057,0.1188,Não significativo,0
Roubo (art. 157),3556602,Vera Cruz,0.197,0.1691,0.3376,Não significativo,0
Roubo (art. 157),3556701,Vinhedo,0.901,0.0595,0.4643,Não significativo,0
Roubo (art. 157),3556800,Viradouro,0.459,-0.0059,0.9501,Não significativo,0
Roubo (art. 157),3556909,Vista Alegre do Alto,0.37,0.095,0.4615,Não significativo,0
Roubo (art. 157),3556958,Vitória Brasil,0,0.2597,0.3453,Não significativo,0
Roubo (art. 157),3557006,Votorantim,0.696,0,0.5427,Não significativo,0
Roubo (art. 157),3557105,Votuporanga,0.269,0.1702,0.1528,Não significativo,0
Roubo (art. 157),3557154,Zacarias,0,0.1902,0.3589,Não significativo,0
Roubo (art. 157),3557204,Chavantes,0.164,0.1849,0.3795,Não significativo,0
Roubo (art. 157),3557303,Estiva Gerbi,1.417,0.088,0.8269,Não significativo,0
Furto (art. 155),3500105,Adamantina,6.083,0.2488,0.0434,Baixo-Baixo,0
Furto (art. 155),3500204,Adolfo,5.516,-0.0534,0.7689,Não significativo,0
Furto (art. 155),3500303,Aguaí,13.251,0.3294,0.6131,Não significativo,0
Furto (art. 155),3500402,Águas da Prata,4.343,0.219,0.6718,Não significativo,0
Furto (art. 155),3500501,Águas de Lindóia,4.127,0.3436,0.4521,Não significativo,0
